,N_NO2,Nord_Precip,Nord_Pressure,Nord_RH,Nord_Temp,Nord_Winddirection,Nord_Windspeed,weekday_Monday,weekday_Tuesday,weekday_Wednesday,weekday_Thursday,weekday_Friday,weekday_Saturday,weekday_Sunday,season_fall,season_spring,season_summer,season_winter,holiday_sunday,holiday,holiday_school,year,month,dayofyear,weekday,season
2010-02-18,66.19,0.0,959.7373,77.835205,0.37267193,215.47392,0.5118479,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2010,2,49,4,1
2010-02-19,73.906166,0.0,958.60626,80.86396,2.0005062,204.32756,0.40705752,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2010,2,50,5,1
2010-02-20,69.67382,0.043407712,955.40826,90.41396,2.0814297,174.39159,0.32282522,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2010,2,51,6,1
2010-02-21,14.826955,0.008277084,953.7957,53.721878,4.655063,287.1465,1.6713105,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2010,2,52,0,1
2010-02-22,33.303455,0.0,962.62494,65.57479,1.3707322,206.85744,0.6936333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2010,2,53,1,1
2010-02-23,51.623833,0.0,960.6521,72.26396,2.2290356,141.4952,0.63074416,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2010,2,54,2,1
2010-02-24,57.52447,0.0,957.52704,70.68811,4.3115115,99.71783,0.9505999,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2010,2,55,3,1
2010-02-25,51.233192,0.0,961.1458,70.75792,5.994709,90.896965,0.8505499,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2010,2,56,4,1
2010-02-26,54.241493,0.0,963.27313,71.928535,6.1582503,162.06755,0.944525,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2010,2,57,5,1
2010-02-27,52.197456,0.084343754,957.6479,88.383736,3.9449375,110.32419,0.64839876,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2010,2,58,6,1
2010-02-28,23.505703,0.0,965.53973,50.866043,6.5408344,187.9037,1.1367711,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2010,2,59,0,1
2010-03-01,26.364744,0.0,958.71246,59.061047,6.894707,245.30907,1.1405168,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2010,3,60,1,2
2010-03-02,41.485077,0.0040416666,965.73535,64.097496,9.006667,107.36933,0.8756648,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2010,3,61,2,2
2010-03-03,34.686317,0.0,975.17096,71.44854,5.602209,172.3496,0.512529,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2010,3,62,3,2
2010-03-04,33.031395,0.0,977.48126,78.44666,3.1237156,170.49135,0.42254245,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2010,3,63,4,2
2010-03-05,35.398174,0.029066669,968.7227,84.760414,2.0772421,218.88826,0.41479203,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2010,3,64,5,2
2010-03-06,18.51996,0.0,972.8062,58.929585,-0.09125354,264.00937,1.4499024,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2010,3,65,6,2
2010-03-07,19.534426,0.0,972.92523,57.57271,-1.3015347,173.4552,0.51773113,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2010,3,66,0,2
2010-03-08,9.854553,0.0060625,981.91455,63.556046,-1.8870066,129.7748,0.6698854,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2010,3,67,1,2
2010-03-09,14.0103,0.0,978.88965,58.19687,-3.324281,199.46391,1.1676272,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2010,3,68,2,2
2010-03-10,20.434275,0.0,977.43964,57.95041,-1.818005,172.93872,1.2560958,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2010,3,69,3,2
2010-03-11,25.88957,0.058200005,977.4104,75.1923,-1.943408,210.31865,0.675473,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2010,3,70,4,2
2010-03-12,25.470783,0.026916668,969.08344,78.53791,-0.5531729,185.0996,0.3929298,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2010,3,71,5,2
2010-03-13,44.21391,0.0,970.87524,68.78478,1.1156083,175.42395,0.71688133,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2010,3,72,6,2
2010-03-14,28.476212,0.0,974.83105,62.52231,2.8704145,218.49492,0.8545115,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2010,3,73,0,2
2010-03-15,22.934364,0.0,974.53326,60.763126,3.7792318,262.64706,1.3338145,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2010,3,74,1,2
2010-03-16,45.350212,0.053977083,974.91675,83.79708,0.6660642,212.99327,0.48464373,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2010,3,75,2,2
2010-03-17,29.953339,0.0,976.5042,68.055,4.0904307,187.54915,1.3930854,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2010,3,76,3,2
2010-03-18,26.625574,0.0,984.5815,70.2775,5.0054793,143.56833,0.7752979,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2010,3,77,4,2
2010-03-19,49.02958,0.0,983.75433,65.74563,6.3524137,115.85207,1.0618186,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2010,3,78,5,2
2010-03-20,46.23212,0.0,980.38947,57.157913,10.061,184.92393,1.1372855,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2010,3,79,6,2
2010-03-21,20.251404,0.0,975.54175,54.863125,11.995354,223.79027,1.4184376,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2010,3,80,0,2
2010-03-22,23.208216,0.0,974.46466,57.893955,13.724935,229.72723,1.2002498,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2010,3,81,1,2
2010-03-23,37.597874,0.198575,979.01874,84.83375,9.931959,149.73817,0.537348,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2010,3,82,2,2
2010-03-24,29.700848,0.0,977.3772,76.275826,9.829791,170.27635,0.5722292,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2010,3,83,3,2
2010-03-25,19.571192,0.0,976.38135,66.40478,11.723915,111.95307,0.9933023,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2010,3,84,4,2
2010-03-26,16.825212,0.0,973.83954,69.35625,13.294896,163.11958,0.86605144,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2010,3,85,5,2
2010-03-27,29.80628,0.0,970.07104,71.74167,11.44773,131.22089,1.0349877,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2010,3,86,6,2
2010-03-28,13.693457,0.004105625,967.0625,63.687496,10.253479,200.5048,0.8473079,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2010,3,87,0,2
2010-03-29,16.427256,0.0,969.4126,58.929806,9.99952,215.27643,0.97928715,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2010,3,88,1,2
2010-03-30,29.81085,0.0,969.1626,59.79166,11.82017,145.20305,0.6819375,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2010,3,89,2,2
2010-03-31,28.368828,0.0,961.99384,68.29042,11.457249,200.36269,1.1041802,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2010,3,90,3,2
2010-04-01,20.04945,0.09477708,962.21045,79.06312,8.172479,239.54547,0.88288254,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2010,4,91,4,2
2010-04-02,18.993446,0.09300209,969.0312,66.64187,8.458251,198.75865,1.4676126,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2010,4,92,5,2
2010-04-03,16.00968,0.0,974.5769,67.38416,5.8965206,216.99013,0.67898154,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2010,4,93,6,2
2010-04-04,16.840698,0.0,974.22925,61.644165,8.569564,212.58746,1.1688687,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2010,4,94,0,2
2010-04-05,16.768276,0.0,972.1313,64.57835,9.715833,182.82104,0.9037592,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2010,4,95,1,2
2010-04-06,3.4369345,0.0,975.7022,57.681244,9.672271,274.095,1.517396,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2010,4,96,2,2
2010-04-07,16.941916,0.0,981.1209,53.365017,8.8689375,241.65547,1.3049152,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2010,4,97,3,2
2010-04-08,24.301235,0.0,979.929,60.194164,8.21221,139.94894,0.97317296,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2010,4,98,4,2
2010-04-09,25.624449,0.0,980.0354,61.33835,10.079644,98.380775,1.0574313,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2010,4,99,5,2
2010-04-10,23.377893,0.0063875,981.37695,59.447292,13.022313,162.07681,1.0029119,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2010,4,100,6,2
2010-04-11,10.921361,0.01440625,979.1043,65.72146,9.606271,213.66144,0.66687584,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2010,4,101,0,2
2010-04-12,12.14332,0.0082125,974.1917,71.28979,5.716,159.62383,1.0111998,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2010,4,102,1,2
2010-04-13,19.436594,0.093013965,971.36865,84.48688,5.294292,181.26776,0.44980195,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2010,4,103,2,2
2010-04-14,24.928982,0.13004167,969.85626,83.66772,7.678917,189.8091,0.33190832,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2010,4,104,3,2
2010-04-15,24.257236,0.093337506,967.0168,85.38375,8.020062,213.80287,0.59586245,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2010,4,105,4,2
2010-04-16,19.869444,0.0,969.26465,61.412075,9.812001,197.8299,0.9108253,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2010,4,106,5,2
2010-04-17,16.155405,0.0,972.74384,59.065838,11.4816885,193.6026,0.7349591,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2010,4,107,6,2
2010-04-18,13.265723,0.0,976.80414,66.94542,9.985688,151.90549,0.7012667,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2010,4,108,0,2
2010-04-19,25.613401,0.008475,974.9165,78.37252,6.696854,136.96881,0.9461541,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2010,4,109,1,2
2010-04-20,17.929213,0.0,969.32935,56.524384,12.439853,183.23955,1.2640585,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2010,4,110,2,2
2010-04-21,23.417467,0.012383333,970.6606,55.50937,13.784627,217.64192,1.0632418,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2010,4,111,3,2
2010-04-22,25.967043,0.0,970.05005,61.581455,13.064999,145.3474,0.74906677,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2010,4,112,4,2
2010-04-23,17.615576,0.0,973.9375,73.06062,7.91177,178.65187,0.6797376,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2010,4,113,5,2
2010-04-24,19.745087,0.0,973.0628,75.445015,9.23573,118.82108,0.3634473,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2010,4,114,6,2
2010-04-25,14.72834,0.0,976.19775,67.9425,13.742604,150.67491,0.6382814,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2010,4,115,0,2
2010-04-26,10.975277,0.0,980.7249,66.648964,15.155707,111.63049,0.9213624,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2010,4,116,1,2
2010-04-27,18.722492,0.024895832,980.0415,71.47479,14.855895,153.99692,1.4123875,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2010,4,117,2,2
2010-04-28,23.019253,0.008341666,981.69385,69.287285,14.189792,263.65808,1.3133105,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2010,4,118,3,2
2010-04-29,16.584194,0.0,982.42505,65.27812,13.731709,105.102,0.87213755,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2010,4,119,4,2
2010-04-30,18.635065,0.0,977.3958,62.845417,14.786209,101.74302,0.9573521,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2010,4,120,5,2
2010-05-01,25.590746,0.0,969.4812,59.018967,19.314793,153.04938,0.97850627,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2010,5,121,6,2
2010-05-02,12.032574,0.0,967.6167,66.552925,17.794168,129.09673,0.8214875,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2010,5,122,0,2
2010-05-03,8.332765,0.0,967.07086,69.95729,16.295,157.46648,0.67273134,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2010,5,123,1,2
2010-05-04,22.20132,0.022747917,966.6023,82.44749,14.112292,186.10457,0.4540875,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2010,5,124,2,2
2010-05-05,22.800852,0.13838333,969.8105,83.520836,13.9035425,149.57602,0.34470233,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2010,5,125,3,2
2010-05-06,14.766428,0.07672292,967.1311,89.63375,13.475417,118.862755,0.44253752,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2010,5,126,4,2
2010-05-07,13.909129,0.06367084,959.4792,71.46062,13.983521,169.355,0.94581795,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2010,5,127,5,2
2010-05-08,18.143255,0.0,963.12085,63.91959,13.021232,125.03176,0.88584995,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2010,5,128,6,2
2010-05-09,12.545725,0.0,966.23334,70.8852,12.12698,157.9303,1.0827605,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2010,5,129,0,2
2010-05-10,9.845595,0.0,966.56244,67.94582,14.496251,228.36513,0.95766234,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2010,5,130,1,2
2010-05-11,15.844487,0.087189585,963.8853,72.002495,15.166001,123.54077,0.77953124,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2010,5,131,2,2
2010-05-12,16.076807,0.0,965.0896,69.4248,15.905833,151.11533,0.7796604,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2010,5,132,3,2
2010-05-13,17.961,0.045434784,964.58264,78.84347,14.381304,167.03265,0.63255864,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2010,5,133,4,2
2010-05-14,9.141745,0.22122084,963.71875,85.554146,13.33646,207.76299,0.42732707,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2010,5,134,5,2
2010-05-15,10.906979,0.33109584,963.51447,79.132515,13.304376,173.35344,0.6156896,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2010,5,135,6,2
2010-05-16,4.2120423,0.03728271,960.17285,73.729385,11.055291,220.22871,1.3840958,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2010,5,136,0,2
2010-05-17,3.4370377,0.0,962.4937,48.702915,11.49396,287.09592,3.2001607,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2010,5,137,1,2
2010-05-18,6.002702,0.0,969.64996,41.8425,14.639793,304.425,2.5373082,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2010,5,138,2,2
2010-05-19,6.6608944,0.0,974.0376,46.29375,13.933292,265.811,1.725954,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2010,5,139,3,2
2010-05-20,8.652739,0.0,976.2646,53.70312,11.71177,284.45593,1.1924378,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2010,5,140,4,2
2010-05-21,12.832383,0.0,978.44775,56.848755,13.483687,260.20822,0.9718352,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2010,5,141,5,2
2010-05-22,12.732383,0.0,978.02716,60.047085,15.262502,232.428,0.93484694,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2010,5,142,6,2
2010-05-23,2.889055,0.0,976.7564,57.978947,17.765,290.89313,1.8034749,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2010,5,143,0,2
2010-05-24,4.0054865,0.0,975.28143,58.385006,17.59521,263.25552,1.1980981,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2010,5,144,1,2
2010-05-25,11.546475,0.0,971.33545,58.937714,19.109583,125.4544,0.97111034,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2010,5,145,2,2
2010-05-26,21.46813,0.5955021,968.5417,64.9298,19.964167,118.18808,0.7070501,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2010,5,146,3,2
2010-05-27,19.771088,0.11763958,967.04596,74.541664,18.37292,202.71637,0.88920623,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2010,5,147,4,2
2010-05-28,13.478724,0.12593335,966.43335,67.145836,18.63312,154.7079,0.9116333,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2010,5,148,5,2
2010-05-29,13.968149,0.0,971.1687,65.64145,18.095419,203.96599,0.92957276,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2010,5,149,6,2
2010-05-30,6.2942615,0.34780416,974.9084,76.19459,16.50146,199.39369,0.6782584,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2010,5,150,0,2
2010-05-31,9.791063,0.14261667,968.74176,82.17584,15.2750025,186.60811,0.5525448,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2010,5,151,1,2
2010-06-01,12.057,0.03309792,964.56476,63.050205,12.611458,231.94939,1.432706,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2010,6,152,2,3
2010-06-02,6.819212,0.0,964.38965,49.350002,15.166874,287.6642,1.4908873,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2010,6,153,3,3
2010-06-03,21.124258,0.111267515,964.3896,83.39292,11.704167,163.66154,0.44741878,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2010,6,154,4,3
2010-06-04,10.386702,0.09510208,968.94165,79.42251,13.894832,189.66058,0.49813125,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2010,6,155,5,3
2010-06-05,14.508469,0.0,972.7209,64.2798,16.706041,259.94653,0.91221434,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2010,6,156,6,3
2010-06-06,10.481039,0.0,978.2063,62.56416,17.907103,90.068214,0.8727792,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2010,6,157,0,3
2010-06-07,7.32817,0.0,974.21063,65.45272,19.690834,125.01626,0.92395014,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2010,6,158,1,3
2010-06-08,18.87534,0.13219585,970.42914,76.29978,19.603125,157.29173,0.91176456,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2010,6,159,2,3
2010-06-09,16.027254,0.00215,968.69586,69.47625,21.9,85.74146,0.73888135,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2010,6,160,3,3
2010-06-10,14.38281,0.0,967.88983,60.204163,23.30896,125.63791,1.1808208,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2010,6,161,4,3
2010-06-11,18.465786,0.0,968.7812,57.68291,23.772293,177.62653,0.84313756,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2010,6,162,5,3
2010-06-12,19.160065,0.0,967.66675,55.307285,25.218748,138.27522,1.2881395,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2010,6,163,6,3
2010-06-13,12.264001,0.0,966.15204,54.790833,25.805208,95.79917,1.1796188,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2010,6,164,0,3
2010-06-14,5.1617446,0.010491042,969.1374,68.71563,22.640625,140.21068,0.82318753,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2010,6,165,1,3
